t_rel_s,ecg,hdf_label
1.436,-0.6008697220641847,0
1.438,-0.6614074571711517,0
1.44,-0.7224373336339819,0
1.441,-0.7774661200700627,0
1.444,-0.8222801915154457,0
1.446,-0.8578125249753511,0
1.447,-0.8850975422308939,0
1.449,-0.9129714540955612,0
1.451,-0.9430018422838736,0
1.454,-0.9659213311543264,0
1.456,-0.9794026090218584,0
1.457,-0.9933762075005882,0
1.46,-1.0008805162014354,0
1.462,-0.9874499233428542,0
1.463,-0.9503058216483616,0
1.464,-0.8848194567247932,0
1.467,-0.7845484079905221,0
1.468,-0.6450115966890348,0
1.47,-0.466601748669613,0
1.473,-0.2746118585895136,0
1.475,-0.076206498656911,0
1.476,0.1289651915070784,0
1.479,0.3297344292559069,0
1.48,0.5081436457791906,0
1.483,0.6557434447178001,0
1.484,0.7680145659150277,0
1.486,0.8393807922330323,0
1.488,0.868806547635147,0
1.491,0.8592718762095736,0
1.493,0.8165386829549814,0
1.495,0.7496088079824793,0
1.496,0.6745399241433548,0
1.499,0.5998735710818917,0
1.5,0.5334323065911135,0
1.503,0.4809738366394199,0
1.503,0.4413263701590251,0
1.505,0.4123939751569312,0
1.507,0.3904772733604534,0
1.51,0.373935994887708,0
1.512,0.3581967026200759,0
1.513,0.3407181862102312,0
1.516,0.3228766007873764,0
1.518,0.3058981668186672,0
1.519,0.2975991383517854,0
1.521,0.2997528475921413,0
1.523,0.3041184591236563,0
1.526,0.3131098271344966,0
1.528,0.3155492119564028,0
1.529,0.3094308517686338,0
1.532,0.3016990680152436,0
1.534,0.2888977477637448,0
1.536,0.2769282693487836,0
1.537,0.2662841871412021,0
1.539,0.2508669426151314,0
1.542,0.231828036932148,0
1.543,0.2164433521071298,0
1.544,0.2044291666025784,0
1.547,0.1929335667737473,0
1.549,0.1835967522744436,0
1.551,0.170466289197645,0
1.552,0.1530512601737256,0
1.555,0.1355504633549226,0
1.556,0.1165204910946339,0
1.559,0.1013132782633134,0
1.56,0.0908126536949083,0
1.562,0.081369218982617,0
1.564,0.0745474937594918,0
1.567,0.0681017706198516,0
1.569,0.0617093334430413,0
1.571,0.057856366625873,0
1.572,0.0560562395729585,0
1.575,0.0514933754659627,0
1.576,0.0440776734523728,0
1.578,0.0357938782666647,0
1.58,0.0254206070094548,0
1.583,0.0163558731763808,0
1.585,0.0088058879419371,0
1.587,5.169635748618817e-05,0
1.588,-0.0091711995315726,0
1.59,-0.0165831383867158,0
1.592,-0.0222838114913363,0
1.593,-0.0268433769690713,0
1.595,-0.0297035643723083,0
1.598,-0.0328666252946453,0
1.599,-0.0363849038228133,0
1.601,-0.0387847193325951,0
1.604,-0.0404806597358332,0
1.606,-0.0430275043630725,0
1.608,-0.0464104355716315,0
1.609,-0.0501783074309269,0
1.611,-0.0547317845750164,0
1.614,-0.0587725741978157,0
1.615,-0.0622682190800914,0
1.617,-0.0662162453146276,0
1.619,-0.0703547721304487,0
1.622,-0.0739443129588572,0
1.624,-0.0770379400014671,0
1.625,-0.0798167002022303,0
1.628,-0.08210985118989,0
1.628,-0.0846282718910924,0
1.631,-0.0874010217453549,0
1.632,-0.0899365016139162,0
1.634,-0.092392398766942,0
1.636,-0.0943635745254508,0
1.639,-0.0957615890493343,0
1.641,-0.096891998400524,0
1.643,-0.0976293306052907,0
1.644,-0.0980859693081225,0
1.647,-0.0982836336949157,0
1.648,-0.0980531149346686,0
1.651,-0.0974151616279428,0
1.652,-0.0968063737220759,0
1.654,-0.096237020878331,0
1.656,-0.0955069930586581,0
1.659,-0.0947250732823913,0
1.661,-0.0935914982266346,0
1.663,-0.0920817497759528,0
1.664,-0.0904337884725216,0
1.667,-0.08857897429957,0
1.668,-0.0869635206932586,0
1.67,-0.0856598855225928,0
1.671,-0.0844100776101443,0
1.673,-0.0833509771311113,0
1.676,-0.0822821353461908,0
1.678,-0.0811918928485282,0
1.68,-0.0803073189537523,0
1.681,-0.0795951599358177,0
1.684,-0.0786410933671695,0
1.686,-0.0774467167988064,0
1.687,-0.0761974736877209,0
1.689,-0.0747955184764399,0
1.691,-0.0735535697703391,0
1.694,-0.0725001456503173,0
1.696,-0.0714038587710931,0
1.697,-0.0703404471818155,0
1.7,-0.0695054370061752,0
1.702,-0.0688985031516372,0
1.703,-0.0684874498350841,0
1.705,-0.0683271527559116,0
1.707,-0.0682598509985882,0
1.71,-0.0682915499669593,0
1.711,-0.068553972095575,0
1.712,-0.0690223360574909,0
1.715,-0.0696566886379602,0
1.717,-0.070476039190196,0
1.719,-0.0714904240932622,0
1.72,-0.0726993618407501,0
1.723,-0.0741751447773198,0
1.724,-0.0759286314418352,0
1.726,-0.0779304445463028,0
1.728,-0.0802040260995247,0
1.73,-0.0817202185795745,0
1.733,-0.0823787112721522,0
1.735,-0.0826851654586101,0
1.736,-0.0823465764416275,0
1.739,-0.0819573408681876,0
1.74,-0.0815488733675546,0
1.743,-0.0805615381565524,0
1.744,-0.079109037851798,0
1.746,-0.0779546282428035,0
1.748,-0.077086056211362,0
1.751,-0.0762035075301691,0
1.753,-0.0754886368000544,0
1.753,-0.0743355354257572,0
1.756,-0.0727007078204345,0
1.758,-0.071030083587389,0
