pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_02,B2,7,B2_p7,2026-07-08 03:00:00,2,3,34.983754450920706,35.14784750410192,35.43587728925408,35.023816543829994
pig_02,B2,7,B2_p7,2026-07-08 03:30:00,2,3,32.59679667811211,34.91670543831919,35.0786499102569,33.97368094162431
pig_02,B2,7,B2_p7,2026-07-08 04:00:00,2,3,33.724116323913485,35.81405085115279,36.01233449891487,35.95228006170342
pig_02,B2,7,B2_p7,2026-07-08 04:30:00,2,3,33.48456179378559,35.41087595094057,35.41815622766316,35.1674647490877
pig_02,B2,7,B2_p7,2026-07-08 05:00:00,2,3,35.68591912844774,35.75836800074042,35.769139746472966,34.6987037792076
pig_02,B2,7,B2_p7,2026-07-08 05:30:00,2,3,34.17565943613985,35.27437590562147,35.22281723688663,33.64669446318511
pig_02,B2,7,B2_p7,2026-07-08 06:00:00,2,3,32.66546466851061,34.443814691159055,34.27557290999048,33.37961139055437
pig_02,B2,7,B2_p7,2026-07-08 06:30:00,2,3,32.6717000085918,32.72400234788208,32.98271566479713,32.13529148648323
pig_02,B2,7,B2_p7,2026-07-08 07:00:00,2,3,43.762764905632714,40.59002049642199,40.57007595333566,38.75304332377554
pig_02,B2,7,B2_p7,2026-07-08 07:30:00,2,3,32.3862566791603,35.15145608861231,35.1206486705612,34.27251525904636
pig_02,B2,7,B2_p7,2026-07-08 08:00:00,2,3,41.80342439328572,47.816682919789216,47.75473452052644,42.37006462533308
pig_02,B2,7,B2_p7,2026-07-08 09:30:00,3,3,53.45585979131036,42.93653191695674,43.123383315813975,45.36883916907211
pig_02,B2,7,B2_p7,2026-07-08 10:00:00,3,3,46.40895105620419,39.757113086746216,40.0595988365597,42.158476067718894
pig_02,B2,7,B2_p7,2026-07-08 10:30:00,3,3,40.85752859328332,39.65788868488064,40.0315177482064,40.85991543987964
pig_02,B2,7,B2_p7,2026-07-08 11:00:00,3,3,45.719952788605106,44.38930385451408,44.31811039513882,46.01559539389427
pig_02,B2,7,B2_p7,2026-07-08 11:30:00,3,3,45.244458422745886,41.36940178835807,41.471557068963776,42.148371915718215
pig_02,B2,7,B2_p7,2026-07-08 12:00:00,3,3,42.62961587002091,41.69723881290253,41.93738989956792,43.281129393716235
pig_02,B2,7,B2_p7,2026-07-08 12:30:00,3,3,49.65783293293771,42.00616231344412,42.08387946397997,42.28666293715616
pig_02,B2,7,B2_p7,2026-07-08 13:00:00,3,3,49.40305922547941,40.627109057126134,40.694295871656784,38.9241874710435
pig_02,B2,7,B2_p7,2026-07-08 13:30:00,3,3,61.392407709863285,51.5470186432632,52.28738548498126,53.4743354408619
pig_02,B2,7,B2_p7,2026-07-08 14:00:00,3,3,49.80016141130531,42.2359740283449,42.482036681695455,39.985379892137544
pig_02,B2,7,B2_p7,2026-07-08 14:30:00,3,3,57.18703356176721,53.60465628759503,54.04467042941755,56.49782953619537
pig_02,B2,7,B2_p7,2026-07-08 15:30:00,3,3,60.163641680217495,48.82527344991921,49.36834991772687,51.22198550428927
pig_02,B2,7,B2_p7,2026-07-08 16:00:00,3,3,48.219668687747856,44.20877155632975,44.31980164653933,45.140481888975245
pig_02,B2,7,B2_p7,2026-07-08 16:30:00,3,3,43.84231126334378,42.42199066070085,42.458589161640674,42.92567542857929
pig_02,B2,7,B2_p7,2026-07-08 17:00:00,3,3,46.29894426764827,43.701661205555496,43.94113720806452,44.84793806102256
pig_02,B2,7,B2_p7,2026-07-08 17:30:00,3,3,39.94905128803195,41.97079290703228,42.01463182853176,42.06296822261912
pig_02,B2,7,B2_p7,2026-07-08 18:00:00,3,3,44.13197156627481,38.853749838866804,39.21951416251407,40.43459202868075
pig_02,B2,7,B2_p7,2026-07-08 18:30:00,3,3,51.42261449886277,45.634521526325614,45.76664102487237,45.1623615771321
pig_02,B2,7,B2_p7,2026-07-08 19:00:00,3,3,45.045521722157524,41.333494241478306,41.288046769298916,39.90281363015284
pig_02,B2,7,B2_p7,2026-07-08 19:30:00,3,3,39.874986272025644,39.93366516757852,40.10199514953371,39.5276425788243
pig_02,B2,7,B2_p7,2026-07-08 20:00:00,3,3,39.02683083802125,40.81125850264119,41.014925939160854,39.61348711114126
pig_02,B2,7,B2_p7,2026-07-08 20:30:00,3,3,40.84164310793261,40.51826944629752,40.44383841486433,39.91286711566157
pig_02,B2,7,B2_p7,2026-07-08 21:00:00,3,3,39.81094906408846,38.620744492649635,38.85329150218294,36.850932913624206
pig_02,B2,7,B2_p7,2026-07-08 21:30:00,3,3,36.37861540156563,38.65986254559804,38.92526453958034,38.44226895284697
pig_02,B2,7,B2_p7,2026-07-08 22:00:00,3,3,40.0984610539128,37.36184475801946,37.73330113808598,36.36612831701157
pig_02,B2,7,B2_p7,2026-07-08 22:30:00,3,3,42.597373387011714,39.94547175115055,40.01549508100505,39.37193344268239
pig_02,B2,7,B2_p7,2026-07-08 23:00:00,3,3,39.40256231916291,37.969678133933776,38.112975812913156,37.722132148049056
pig_02,B2,7,B2_p7,2026-07-08 23:30:00,3,3,47.535924974255735,40.18604633060711,40.21462293649645,38.3117553298
pig_02,B2,7,B2_p7,2026-07-09 00:00:00,3,3,44.6824154863092,39.74266075784473,39.9130988531129,38.3290784568521
pig_02,B2,7,B2_p7,2026-07-09 00:30:00,3,3,38.07168374510074,36.754991814399496,37.049828032093004,36.79516594640454
pig_02,B2,7,B2_p7,2026-07-09 01:00:00,3,3,36.57910060258817,37.28350185417568,37.406741782301324,36.35768018177063
pig_02,B2,7,B2_p7,2026-07-09 01:30:00,3,3,37.206625138914,34.91894473557253,35.08763693167425,35.02448816397793
pig_02,B2,7,B2_p7,2026-07-09 02:00:00,3,3,35.04836189331025,35.798002335506794,35.953419898950806,35.423092744656984
pig_02,B2,7,B2_p7,2026-07-09 02:30:00,3,3,40.22296865998025,36.23687362926242,36.306246451422616,36.35230911059773
pig_02,B2,7,B2_p7,2026-07-09 03:00:00,3,3,37.356277834911076,35.3359403296834,35.56583856808979,35.414293067222424
pig_02,B2,7,B2_p7,2026-07-09 03:30:00,3,3,32.81698212177591,36.27590569184365,36.346579077829404,36.252494799553304
pig_02,B2,7,B2_p7,2026-07-09 04:00:00,3,3,35.862537330476755,35.29774226078897,35.36466987322345,35.63662257109714
pig_02,B2,7,B2_p7,2026-07-09 04:30:00,3,3,34.08900735657379,37.638860627270674,37.51427647967664,36.49978472413221
pig_02,B2,7,B2_p7,2026-07-09 05:00:00,3,3,38.17527662428982,34.415135372637735,34.63519968928671,32.136393885688946
