pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Metabolic body weight,predicted_HP__Heart rate · Ridge,predicted_HP__Heart rate · LightGBM,predicted_HP__ODBA · Ridge,predicted_HP__ODBA · LightGBM,predicted_HP__Heart rate + ODBA · Ridge,predicted_HP__Heart rate + ODBA · LightGBM,predicted_HP__Main model (uncalibrated)
pig_19,B2,6,B2_p6,2026-07-02 09:00:00,2,2,38.86639295698977,38.104031583150686,36.28401876389303,35.399555550086646,37.11021818708193,38.589187107415995,35.800335933558,35.88697656506246,41.58500968041912
pig_19,B2,6,B2_p6,2026-07-02 09:30:00,2,2,39.407830622222335,38.12102940399876,37.49038745586489,36.85495268905101,39.30138510518327,37.54524239661805,38.408089248812736,40.27312094104654,44.84536802941004
pig_19,B2,6,B2_p6,2026-07-02 10:00:00,2,2,37.616480293489296,38.13801683267964,33.94681309220273,32.68495415363101,39.04212763991996,42.79930969773239,35.10555086065037,33.11267029021439,42.550441548914996
pig_19,B2,6,B2_p6,2026-07-02 10:30:00,2,2,34.40631277882802,38.15500331255245,36.07423499026784,34.923180029316285,36.60031455716156,37.61335200573207,35.22337089282903,35.1810253850508,40.59145980986584
pig_19,B2,6,B2_p6,2026-07-02 11:00:00,2,2,37.43107592374766,38.17199985413151,36.438471416852735,35.46569095251972,37.245710996786144,41.07326729178707,35.992222100837516,36.60256517003764,42.077028796545214
pig_19,B2,6,B2_p6,2026-07-02 11:30:00,2,2,51.89551899720267,38.188982865736406,36.2993071555421,35.3904065661746,47.576766268375984,47.791381611874485,43.21385521487654,40.578450143580135,50.540883055519316
pig_19,B2,6,B2_p6,2026-07-02 12:00:00,2,2,39.12375109504246,38.20596178791376,35.51367231889881,34.49304593951149,38.68017017275716,41.52607036720787,36.18215532147314,36.21667072936698,43.352574070578456
pig_19,B2,6,B2_p6,2026-07-02 12:30:00,2,2,37.5215968230077,38.22294133941923,36.797186589247346,37.601460071772,39.618202221998544,42.196094534173135,37.96559504788914,41.96309199146551,44.58038528467588
pig_19,B2,6,B2_p6,2026-07-02 13:00:00,2,2,40.47073681219786,38.23991680522324,35.77678000556906,34.442255361628696,41.91158698737854,44.79449512756795,38.69306315731798,34.744283016432874,43.7240890229044
pig_19,B2,6,B2_p6,2026-07-02 13:30:00,2,2,53.04969595621928,38.25689133108134,39.264060558655565,38.57703022905292,52.9583896690164,52.56196873774512,49.60485158166961,43.93778821332772,54.01648439840453
pig_19,B2,6,B2_p6,2026-07-02 14:00:00,2,2,49.79495058463087,38.27386648952012,38.79689857300774,38.823371637828174,48.684521252094626,50.4472418416565,46.14295830607243,41.45566920215881,51.79250757660124
pig_19,B2,6,B2_p6,2026-07-02 14:30:00,2,2,60.721402185967975,38.28800634824133,44.03074142928769,45.19651704027128,58.03534459807268,53.080326381611,57.38108306678858,61.06010016086477,50.54527817525377
pig_19,B2,6,B2_p6,2026-07-02 15:30:00,2,2,49.35482011238568,38.32759780673875,39.889279875835165,40.7805885627652,38.0807206126613,42.1572425244083,39.52158781057797,41.16301557784458,46.086632182658064
pig_19,B2,6,B2_p6,2026-07-02 16:00:00,2,2,48.80526747482672,38.34172477470062,41.27784495494388,42.301693816258485,39.33855751207413,35.18045356988237,41.626483766447,41.18107101642674,48.112582340959314
pig_19,B2,6,B2_p6,2026-07-02 16:30:00,2,2,44.0118024513921,38.35868740806244,39.87459432008163,40.15258500420354,37.50567999928757,37.20954060795646,39.08108274448209,39.678499962996206,45.654709586157665
pig_19,B2,6,B2_p6,2026-07-02 17:00:00,2,2,41.746809935126485,38.37564597146197,39.38821141451613,38.69677862450298,38.29732392642827,38.45885945720593,39.207995718278724,39.95626781940728,43.73610251967468
pig_19,B2,6,B2_p6,2026-07-02 17:30:00,2,2,38.928407607612186,38.39260203717909,38.12048038588914,41.087096867364494,37.84539181409784,40.29230709330493,37.76442316495965,41.280135386972375,42.75684036868741
pig_19,B2,6,B2_p6,2026-07-02 18:00:00,2,2,39.09597456991071,38.40954932899515,37.66070382786695,37.31273466367847,36.431664208299125,34.54496164766635,36.34488514753005,35.28320697750195,41.73858590197183
pig_19,B2,6,B2_p6,2026-07-02 18:30:00,2,2,40.140772758017974,38.42650354434976,38.276796515825595,42.78954894649381,39.00849873152697,44.71436075422515,38.70946549869232,46.92795516421327,42.6403485941889
pig_19,B2,6,B2_p6,2026-07-02 19:00:00,2,2,38.95985088118918,38.44344742134221,37.76223481853857,37.16666255001411,37.69622360692659,37.6512765458989,37.31409294303977,38.784064752770945,39.82024063711279
pig_19,B2,6,B2_p6,2026-07-02 19:30:00,2,2,38.88916644662394,38.4603950846623,39.43184769116693,38.78223692987131,36.51280448486851,34.610188328049816,37.92613176790225,36.6087907324335,41.1680217862146
pig_19,B2,6,B2_p6,2026-07-02 20:00:00,2,2,33.891519090648075,38.47733241604521,38.79281160250217,39.19712628019564,36.07637721568327,35.24858586077907,37.045021700127066,37.95856616620392,38.988591021982586
pig_19,B2,6,B2_p6,2026-07-02 20:30:00,2,2,33.498329999337635,38.49427039930276,39.01806297659187,39.046939928276835,36.5981119754496,34.95434185112654,37.60398359557553,36.786559281053265,40.551895935851306
pig_19,B2,6,B2_p6,2026-07-02 21:00:00,2,2,36.05892665669013,38.51121060300906,40.2648790695434,40.441925827447186,37.19818008492945,38.56477102965565,39.11469502764237,39.6763378642315,40.74621290106782
pig_19,B2,6,B2_p6,2026-07-02 21:30:00,2,2,35.978869511766625,38.52814205160077,40.75288196665577,42.497269657823395,40.43987503118292,43.06748295126428,41.84019461407996,45.81913274788003,42.380026443401746
pig_19,B2,6,B2_p6,2026-07-02 22:00:00,2,2,40.03031850883343,38.54507729103348,36.661556927947174,35.72040557482897,36.942512175446794,38.26924103420592,35.75236827357016,35.540695188420315,38.0690704123163
pig_19,B2,6,B2_p6,2026-07-02 22:30:00,2,2,35.21738084504119,38.5620069157099,36.73448656632421,35.825025573911326,36.8208741731635,37.45297081635146,35.71978125841549,33.75514926344353,36.05362189370997
pig_19,B2,6,B2_p6,2026-07-02 23:00:00,2,2,30.531540248883914,38.57893876488951,35.609981721980574,34.20571348356558,36.503122068901064,35.151261959716244,34.497353563278466,32.66127022856153,35.183999268861236
pig_19,B2,6,B2_p6,2026-07-02 23:30:00,2,2,33.46723897492158,38.5958571684744,35.95591980679736,37.45475874778448,37.53585260342603,39.17900455567309,35.52590786836268,36.93101825377786,35.93843487824138
pig_19,B2,6,B2_p6,2026-07-03 00:00:00,2,2,39.2417096765939,38.6127825009078,35.73282291474885,33.545982341725455,37.17246173363842,41.265989821815495,35.06160398051314,33.793868467565574,35.43917168366508
pig_19,B2,6,B2_p6,2026-07-03 00:30:00,2,2,34.44854011118602,38.62969596155198,36.28086573480013,35.174741330446,38.22730822157706,37.90639875155156,36.283165221572425,36.3409106210017,37.117284022193424
pig_19,B2,6,B2_p6,2026-07-03 01:00:00,2,2,31.883139349173966,38.646616351908094,37.29344689841293,35.35493265531957,36.363601402381704,35.25902089176937,35.8347196121564,33.947163381207865,37.044969106643585
pig_19,B2,6,B2_p6,2026-07-03 01:30:00,2,2,37.26975110168554,38.66353740538368,35.920640901959466,34.90615363411174,38.87399126565174,38.83934224912767,36.40760290845721,36.19149322125207,37.89813261137226
pig_19,B2,6,B2_p6,2026-07-03 02:00:00,2,2,34.34214874282889,38.68044816151797,34.48151306778254,33.14982738477873,36.18396521982949,32.22676700548957,33.22064307677296,29.830124144944666,32.31518486305173
pig_19,B2,6,B2_p6,2026-07-03 02:30:00,2,2,33.423061018922894,38.69735958482636,34.700331076660824,33.416352561704656,37.43422151376416,39.89160366367091,34.29254298782735,33.00252850462715,34.72863282540219
pig_19,B2,6,B2_p6,2026-07-03 03:00:00,2,2,32.15206820805844,38.71426697957858,33.033524050142034,33.01257046306852,36.69279665715815,34.00110797972843,32.29291572568453,28.427582266542828,32.42014379294935
pig_19,B2,6,B2_p6,2026-07-03 03:30:00,2,2,30.298798491918298,38.731167217935145,32.86793618207032,33.4054456416672,36.918283529961606,36.9848329377839,32.29823242107302,29.838483238431824,31.24164089683088
pig_19,B2,6,B2_p6,2026-07-03 04:00:00,2,2,29.4917526963746,38.74807282317604,33.200119474443696,32.565854212185045,36.481547767925534,34.55230728901799,32.26875742804138,29.71550167436805,32.08901668205735
pig_19,B2,6,B2_p6,2026-07-03 04:30:00,2,2,31.40190140516887,38.76497127605366,33.9241158213109,36.312653502378524,37.757550844758946,39.338501145876265,33.802072890415786,35.129519420406076,34.643064562744144
pig_19,B2,6,B2_p6,2026-07-03 05:00:00,2,2,29.075931577420533,38.78187196725255,33.96046909399652,36.328485035932,36.71051483215859,33.05591551667344,33.07872004178004,32.537749042858024,33.974920720002345
pig_19,B2,6,B2_p6,2026-07-03 05:30:00,2,2,34.29447964272801,38.798765511021095,32.4501137480187,31.9213309944619,42.82511478101825,45.908472340114194,36.09647105407639,35.43005508635274,37.19214676603008
